PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,1s1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1414E+01,1.1414E+01,1.1414E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,2.9316E+00,2.9316E+00,2.9316E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.1106E+00,1.1106E+00,1.1106E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2.8064E-01,2.8064E-01,2.8064E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.0525E-01,1.0525E-01,1.0525E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4.9069E-02,4.9069E-02,4.9069E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2.6274E-02,2.6274E-02,2.6274E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.8163E-03,9.8163E-03,9.8163E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4.5582E-03,4.5582E-03,4.5582E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1.1280E-03,1.1280E-03,1.1280E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,4.1816E-04,4.1816E-04,4.1816E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0316E-04,1.0316E-04,1.0316E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,3.8228E-05,3.8228E-05,3.8228E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1.7709E-05,1.7709E-05,1.7709E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,9.4551E-06,9.4551E-06,9.4551E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,3.5226E-06,3.5226E-06,3.5226E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1.6442E-06,1.6442E-06,1.6442E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,4.1765E-07,4.1765E-07,4.1765E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,1.6106E-07,1.6106E-07,1.6106E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,4.4138E-08,4.4138E-08,4.4138E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,1.8581E-08,1.8581E-08,1.8581E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,9.9272E-09,9.9272E-09,9.9272E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,6.1578E-09,6.1578E-09,6.1578E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,3.1176E-09,3.1176E-09,3.1176E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,1.9607E-09,1.9607E-09,1.9607E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,9.7318E-10,9.7318E-10,9.7318E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
