Photon Energy / eV,1s,2s,2p,3s,,,,,,,,,,,,,,
10.2,,,,1.081E-01,,,,,,,,,,,,,,
16.7,,,,1.180E-01,,,,,,,,,,,,,,
21.2,,,,1.014E-01,,,,,,,,,,,,,,
26.8,,,,7.700E-02,,,,,,,,,,,,,,
40.8,,,4.292E+00,4.600E-02,,,,,,,,,,,,,,
80,,6.029E-01,6.801E+00,2.000E-02,,,,,,,,,,,,,,
132.3,,4.967E-01,2.741E+00,9.800E-03,,,,,,,,,,,,,,
151.4,,4.278E-01,2.051E+00,8.500E-03,,,,,,,,,,,,,,
200,,3.004E-01,1.074E+00,5.800E-03,,,,,,,,,,,,,,
300,,1.609E-01,3.747E-01,2.800E-03,,,,,,,,,,,,,,
600,,4.400E-02,5.000E-02,6.300E-04,,,,,,,,,,,,,,
800,,2.400E-02,2.000E-02,3.800E-04,,,,,,,,,,,,,,
1041,,1.300E-02,8.600E-03,2.300E-04,,,,,,,,,,,,,,
1253.6,1.781E-01,8.500E-03,4.600E-03,1.400E-04,,,,,,,,,,,,,,
1486.6,1.165E-01,5.800E-03,2.500E-03,9.700E-05,,,,,,,,,,,,,,
8047.8,1.000E-03,6.600E-05,6.800E-06,3.200E-06,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,2.000E+00,6.000E+00,1.000E+00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
