Photon Energy / eV,2s,2p,3s,3p,4s,3d,,,,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,
16.7,,,,,5.600E-02,,,,,,,,,,,,,
21.2,,,,,1.158E-01,4.356E+00,,,,,,,,,,,,
26.8,,,,,1.378E-01,5.917E+00,,,,,,,,,,,,
40.8,,,,,1.309E-01,8.738E+00,,,,,,,,,,,,
80,,,,7.410E-01,7.400E-02,7.154E+00,,,,,,,,,,,,
132.3,,,3.196E-01,8.578E-01,3.900E-02,3.719E+00,,,,,,,,,,,,
151.4,,,3.035E-01,9.269E-01,3.200E-02,2.907E+00,,,,,,,,,,,,
200,,,2.471E-01,8.822E-01,2.100E-02,1.639E+00,,,,,,,,,,,,
300,,,1.560E-01,6.113E-01,1.100E-02,6.035E-01,,,,,,,,,,,,
600,,,5.600E-02,2.017E-01,3.800E-03,8.000E-02,,,,,,,,,,,,
800,,8.899E-01,3.400E-02,1.120E-01,2.300E-03,3.100E-02,,,,,,,,,,,,
1041,1.178E-01,6.569E-01,2.100E-02,6.100E-02,1.400E-03,1.200E-02,,,,,,,,,,,,
1253.6,8.800E-02,4.090E-01,1.500E-02,3.900E-02,9.500E-04,6.700E-03,,,,,,,,,,,,
1486.6,6.700E-02,2.591E-01,1.100E-02,2.600E-02,7.100E-04,3.700E-03,,,,,,,,,,,,
8047.8,1.900E-03,1.400E-03,2.800E-04,1.800E-04,1.800E-05,5.400E-06,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,6.000E+00,2.000E+00,7.000E+00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
