Photon Energy / eV,3s,3p,4s,3d,4p,5s,4d,,,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,
16.7,,,,,,1.800E-02,,,,,,,,,,,,
21.2,,,,,,6.500E-02,,,,,,,,,,,,
26.8,,,,,,9.100E-02,1.333E+01,,,,,,,,,,,
40.8,,,,,,1.003E-01,3.691E+01,,,,,,,,,,,
80,,,,,1.183E+00,6.400E-02,4.856E+00,,,,,,,,,,,
132.3,,,2.402E-01,,4.517E-01,3.500E-02,2.743E-01,,,,,,,,,,,
151.4,,,2.289E-01,,4.400E-01,2.800E-02,4.080E-01,,,,,,,,,,,
200,,,1.882E-01,,4.116E-01,1.900E-02,6.479E-01,,,,,,,,,,,
300,,,1.211E-01,,3.213E-01,1.100E-02,6.060E-01,,,,,,,,,,,
600,,,4.500E-02,2.700E+00,1.432E-01,3.500E-03,2.238E-01,,,,,,,,,,,
800,1.080E-01,4.396E-01,2.800E-02,1.457E+00,9.100E-02,2.300E-03,1.233E-01,,,,,,,,,,,
1041,7.500E-02,3.120E-01,1.800E-02,7.495E-01,5.800E-02,1.400E-03,6.500E-02,,,,,,,,,,,
1253.6,5.700E-02,2.335E-01,1.200E-02,4.519E-01,4.100E-02,9.800E-04,4.100E-02,,,,,,,,,,,
1486.6,4.300E-02,1.740E-01,9.600E-03,2.776E-01,3.000E-02,7.000E-04,2.600E-02,,,,,,,,,,,
8047.8,1.800E-03,3.400E-03,3.800E-04,9.300E-04,6.000E-04,4.100E-05,1.400E-04,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.000E+01,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
