Photon Energy / eV,1s,2s,2p,,,,,,,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,
16.7,,,1.121E+01,,,,,,,,,,,,,,,
21.2,,,9.688E+00,,,,,,,,,,,,,,,
26.8,,8.965E-01,7.731E+00,,,,,,,,,,,,,,,
40.8,,1.086E+00,4.351E+00,,,,,,,,,,,,,,,
80,,6.528E-01,9.605E-01,,,,,,,,,,,,,,,
132.3,,3.035E-01,2.449E-01,,,,,,,,,,,,,,,
151.4,,2.383E-01,1.671E-01,,,,,,,,,,,,,,,
200,,1.404E-01,7.300E-02,,,,,,,,,,,,,,,
300,,6.000E-02,2.000E-02,,,,,,,,,,,,,,,
600,2.763E-01,1.200E-02,2.000E-03,,,,,,,,,,,,,,,
800,1.329E-01,6.000E-03,7.900E-04,,,,,,,,,,,,,,,
1041,6.500E-02,3.000E-03,3.100E-04,,,,,,,,,,,,,,,
1253.6,3.900E-02,1.900E-03,1.800E-04,,,,,,,,,,,,,,,
1486.6,2.400E-02,1.100E-03,7.200E-05,,,,,,,,,,,,,,,
8047.8,1.500E-04,7.400E-06,7.700E-07,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,2.000E+00,3.000E+00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
